id;idOriginal;rotulo;classificacao;class_mac1;class_mac2;class_mac3
2;853130;Real;fake;fake;fake;fake
5;853862;Real;real;real;fake;fake
10;883038;Real;fake;fake;fake;fake
11;843877;Real;real;real;fake;fake
14;954723;Real;fake;fake;fake;fake
15;842333;Real;fake;fake;fake;fake
17;849715;Real;fake;fake;fake;fake
19;935084;Real;fake;fake;fake;fake
20;874322;Real;fake;fake;fake;fake
21;843869;Real;fake;fake;fake;fake
24;884295;Real;fake;fake;fake;fake
25;874790;Real;fake;fake;fake;fake
26;891890;Real;fake;fake;fake;fake
29;876127;Real;fake;fake;fake;fake
31;930203;Real;fake;fake;fake;fake
32;945947;Real;fake;fake;fake;fake
36;945741;Real;fake;fake;fake;fake
37;846191;Real;fake;fake;fake;fake
39;916342;Real;fake;fake;fake;fake
40;847203;Real;fake;fake;fake;fake
43;902368;Real;fake;fake;fake;fake
44;849528;Real;fake;fake;fake;fake
47;903088;Real;fake;fake;fake;fake
48;932266;Real;fake;fake;fake;fake
49;847810;Real;fake;fake;fake;fake
51;847226;Real;fake;fake;fake;fake
53;949177;Real;real;real;fake;fake
54;932143;Real;fake;fake;fake;fake
58;895703;Real;fake;fake;fake;fake
61;904705;Real;fake;fake;fake;fake
65;843468;Real;fake;fake;fake;fake
66;844216;Real;real;real;real;fake
70;947930;Real;fake;fake;fake;fake
73;887111;Real;fake;fake;real;fake
76;865440;Real;fake;fake;fake;fake
77;867527;Real;real;real;fake;fake
82;848390;Real;real;real;fake;fake
84;861996;Real;fake;fake;fake;fake
87;917404;Real;fake;fake;fake;fake
88;873828;Real;real;real;fake;fake
89;895838;Real;fake;fake;fake;fake
90;794053;Real;fake;fake;fake;fake
91;928817;Real;fake;fake;fake;fake
92;889313;Real;fake;fake;fake;fake
93;849450;Real;fake;fake;fake;fake
94;848327;Real;fake;fake;fake;fake
96;923692;Real;real;real;real;fake
97;868917;Real;fake;fake;fake;fake
99;888545;Real;real;real;fake;fake
100;856668;Real;fake;fake;fake;fake
103;860813;Real;fake;fake;fake;fake
105;883456;Real;fake;fake;fake;fake
106;924285;Real;fake;fake;fake;fake
109;930072;Real;real;real;fake;fake
111;908665;Real;fake;fake;fake;fake
113;897978;Real;fake;fake;fake;fake
122;853066;Real;fake;fake;fake;fake
125;898364;Real;fake;fake;fake;fake
126;853894;Real;real;real;fake;fake
128;883599;Real;fake;fake;fake;fake
129;900856;Real;fake;fake;fake;fake
132;915644;Real;real;real;real;fake
133;865658;Real;real;real;real;fake
138;913535;Real;real;real;fake;fake
139;846764;Real;fake;fake;fake;fake
140;561182;Real;real;real;real;fake
145;919149;Real;real;real;fake;real
146;841456;Real;real;real;real;real
147;936370;Real;real;real;real;real
148;924577;Real;real;real;real;fake
150;897553;Real;fake;fake;real;fake
152;842814;Real;fake;fake;fake;real
153;860652;Real;real;real;real;fake
156;954309;Real;fake;fake;fake;real
157;870472;Real;real;real;real;real
160;902045;Real;real;real;fake;real
169;901894;Real;fake;fake;real;real
172;852002;Real;real;real;real;real
173;862222;Real;real;real;fake;real
174;843742;Real;real;real;real;real
176;920346;Real;fake;fake;fake;real
179;914394;Real;real;real;real;real
180;890373;Real;fake;fake;real;real
182;951012;Real;real;real;real;real
183;880130;Real;real;real;real;real
184;849400;Real;fake;fake;fake;real
185;884684;Real;real;real;real;real
187;845799;Real;real;real;real;real
188;908830;Real;real;real;fake;real
192;925796;Real;real;real;real;real
193;897766;Real;real;real;real;real
195;864922;Real;fake;fake;fake;real
197;904632;Real;real;real;real;real
199;857715;Real;fake;fake;fake;real
201;911230;Real;real;real;real;real
202;846654;Real;fake;fake;fake;real
203;861515;Real;fake;fake;real;real
206;908933;Real;real;real;real;real
208;900461;Real;real;real;fake;real
211;842435;Real;fake;fake;fake;real
212;889802;Real;real;real;real;real
217;856284;Real;fake;fake;fake;real
218;927839;Real;fake;fake;fake;real
220;924760;Real;real;real;real;real
221;886768;Real;real;real;real;real
225;796964;Real;real;real;real;real
226;904735;Real;real;real;fake;real
227;859566;Real;real;real;real;real
229;897485;Real;real;real;real;real
230;846211;Real;fake;fake;fake;real
232;914861;Real;real;real;real;real
234;913174;Real;real;real;fake;real
238;899834;Real;fake;fake;real;real
239;851752;Real;real;real;real;real
240;862501;Real;real;real;real;real
241;932386;Real;fake;fake;real;real
242;891291;Real;real;real;fake;real
244;946961;Real;real;real;real;real
245;905240;Real;real;real;real;real
247;946295;Real;fake;fake;real;real
250;878459;Real;real;real;real;real
251;866453;Real;fake;fake;real;fake
254;884543;Real;real;real;real;real
255;856354;Real;real;real;real;real
256;843726;Real;real;real;real;real
257;919870;Real;real;real;real;real
262;906298;Real;real;real;real;real
264;914590;Real;real;real;real;real
265;873075;Real;fake;fake;real;real
266;921716;Real;real;real;real;real
268;896438;Real;real;real;real;real
271;885134;Real;real;real;real;real
272;897107;Real;real;real;real;real
273;913152;Real;real;real;real;real
278;918677;Real;real;real;real;real
280;951827;Real;real;real;real;real
281;845888;Real;real;real;real;real
282;842177;Real;fake;fake;real;real
283;860853;Real;real;real;real;real
284;940556;Real;real;real;real;real
286;917937;Real;real;real;real;real
290;908709;Real;real;real;real;real
291;918513;Real;real;real;real;real
292;906304;Real;real;real;real;real
293;895839;Real;real;real;real;real
296;950121;Real;real;real;real;real
298;906239;Real;real;real;real;real
299;907725;Real;real;real;real;real
301;863222;Real;real;real;real;real
304;870871;Real;fake;fake;real;real
307;848895;Real;real;real;real;real
308;892335;Real;real;real;real;real
309;904296;Real;real;real;real;real
311;921266;Real;real;real;real;real
316;857791;Real;real;real;real;real
322;916319;Real;real;real;real;real
323;878585;Real;real;real;real;real
324;943196;Real;real;real;real;fake
325;902856;Real;real;real;real;real
326;922400;Real;real;real;real;real
332;858818;Real;real;real;real;real
333;865720;Real;real;real;real;real
334;845355;Real;real;real;real;real
335;899611;Real;real;real;real;real
336;842317;Real;real;real;real;real
337;938801;Real;real;real;real;real
