id;idOriginal;rotulo;class_mac1;class_mac2;class_mac3
3;1201;Real;real;real;real
6;11399;Real;real;real;real
7;954;Real;real;real;real
9;11294;Real;real;real;real
12;12751;Real;real;real;real
13;348;Real;real;real;real
14;7669;Real;real;real;real
17;200;Real;real;real;real
18;303;Real;real;real;real
19;7390;Real;real;real;real
20;5410;Real;real;real;real
22;279;Real;real;real;real
24;683;Real;real;real;real
27;1731;Real;real;real;real
31;7618;Real;real;real;real
32;10348;Real;real;real;real
34;384;Real;real;real;real
36;923;Real;real;real;real
37;14036;Real;real;real;real
39;1180;Real;real;real;real
43;7888;Real;real;real;real
44;11770;Real;real;real;real
45;1313;Real;real;real;real
48;356;Real;real;real;real
49;3198;Real;real;real;real
52;13420;Real;real;real;real
56;1053;Real;real;real;real
60;6730;Real;real;real;real
61;2758;Real;real;real;real
63;341;Real;real;real;real
65;674;Real;real;real;real
68;368;Real;real;real;real
69;1212;Real;real;real;real
70;370;Real;real;real;real
73;195;Real;real;real;real
74;11115;Real;real;real;real
75;401;Real;real;real;real
76;12411;Real;real;real;real
78;14984;Real;real;real;real
81;12120;Real;real;real;fake
82;7668;Real;real;real;fake
83;13226;Real;fake;real;fake
85;539;Real;real;real;real
86;438;Real;real;real;fake
87;93;Real;real;real;fake
90;513;Real;real;real;fake
94;1202;Real;real;real;real
96;537;Real;fake;real;fake
97;11191;Real;real;real;fake
98;12556;Real;real;real;real
100;959;Real;real;real;fake
101;340;Real;real;real;real
102;13058;Real;real;real;fake
105;10209;Real;fake;fake;fake
106;8537;Real;fake;fake;fake
107;12079;Real;fake;fake;fake
108;323;Real;fake;fake;fake
109;11580;Real;fake;fake;fake
110;11709;Real;fake;fake;fake
111;13193;Real;fake;fake;fake
112;215;Real;fake;fake;fake
114;13855;Real;fake;fake;real
116;8846;Real;fake;fake;fake
117;8221;Real;fake;fake;fake
118;377;Real;fake;fake;fake
120;810;Real;fake;fake;fake
125;13229;Real;real;fake;fake
127;8119;Real;real;fake;fake
128;211;Real;real;fake;fake
132;15133;Real;fake;fake;real
133;4433;Real;real;fake;fake
135;230;Real;real;fake;fake
136;937;Real;fake;fake;fake
137;12721;Real;fake;fake;fake
138;979;Real;fake;fake;fake
140;1446;Real;fake;fake;fake
141;11189;Real;real;fake;fake
142;8152;Real;fake;fake;fake
145;11931;Real;fake;fake;fake
146;150;Real;real;fake;fake
147;1084;Real;real;fake;fake
149;8130;Real;real;fake;fake
150;5469;Real;fake;fake;fake
152;206;Real;real;real;fake
156;809;Real;fake;fake;fake
158;98;Real;fake;fake;fake
159;976;Real;fake;fake;fake
162;9438;Real;fake;fake;fake
165;12418;Real;fake;fake;fake
166;6931;Real;real;fake;fake
168;245;Real;real;fake;fake
173;1314;Real;real;fake;fake
174;10889;Real;fake;fake;fake
